ticker,tier,bucket,listing,year,status,source,first_bar,n_bars
REYN,T3,headline,2020-01-31,2020,ok,yfinance,2020-01-31,1594
SGFY,T3,headline,2021-02-11,2021,missing_both_sources,,,0
BRX,T3,headline,2013-10-30,2013,ok,yfinance,2013-10-30,3167
FIGR,T3,headline,2025-09-11,2025,ok,yfinance,2025-09-11,184
INGM,T3,headline,2024-10-24,2024,ok,yfinance,2024-10-24,403
USFD,T3,headline,2016-05-26,2016,ok,yfinance,2016-05-26,2520
OS,T3,headline,2024-07-24,2024,missing_both_sources,,,0
DOCN,T2,headline,2021-03-24,2021,ok,yfinance,2021-03-24,1330
TEGP,T2,headline,2015-05-07,2015,missing_both_sources,,,0
SE,T2,headline,2017-10-20,2017,ok,yfinance,2017-10-20,2190
EPE,T2,headline,2014-01-17,2014,missing_both_sources,,,0
WGP,T2,headline,2012-12-06,2012,missing_both_sources,,,0
WDH,T2,headline,2021-05-07,2021,ok,yfinance,2021-05-07,1299
DOCS,T2,headline,2021-06-24,2021,ok,yfinance,2021-06-24,1266
ARMK,T2,headline,2013-12-12,2013,ok,yfinance,2013-12-12,3161
FLNC,T2,headline,2021-10-28,2021,ok,yfinance,2021-10-28,1178
WDAY,T2,headline,2012-10-11,2012,ok,yfinance,2012-10-12,3453
VOYA,T2,headline,2013-05-01,2013,ok,yfinance,2013-05-02,3317
CQH,T2,headline,2013-12-13,2013,ok,yfinance,2013-12-13,1200
SANA,T2,headline,2021-02-04,2021,ok,yfinance,2021-02-04,1363
AXTA,T2,headline,2014-11-12,2014,ok,yfinance,2014-11-12,2930
PONY,T2,headline,2024-11-27,2024,ok,yfinance,2024-11-27,403
VVV,T2,headline,2016-09-23,2016,ok,yfinance,2016-09-23,2461
YOU,T2,headline,2021-06-30,2021,ok,yfinance,2021-06-30,1262
DOCU,T2,headline,2018-04-27,2018,ok,yfinance,2018-04-27,2061
DT,T2,headline,2019-08-01,2019,ok,yfinance,2019-08-01,1744
ARD,T2,headline,2017-03-15,2017,missing_both_sources,,,0
CRCT,T2,headline,2021-03-25,2021,ok,yfinance,2021-03-26,1328
NET,T2,headline,2019-09-13,2019,ok,yfinance,2019-09-13,1714
COUR,T2,headline,2021-03-31,2021,ok,yfinance,2021-03-31,1325
TEAM,T2,headline,2015-12-09,2015,ok,yfinance,2015-12-09,2660
ARX,T2,headline,2025-07-24,2025,ok,yfinance,2025-07-24,242
SABR,T2,headline,2014-04-17,2014,ok,yfinance,2014-04-17,3075
LNKD,T2,headline,2011-05-19,2011,missing_both_sources,,,0
EVHC,T2,headline,2013-08-14,2013,ok,yfinance,2013-08-14,1299
GSKY,T2,headline,2018-05-24,2018,missing_both_sources,,,0
ETOR,T2,headline,2025-05-14,2025,ok,yfinance,2025-05-13,291
DV,T2,headline,2021-04-21,2021,ok,yfinance,2021-04-21,1311
WRD,T2,headline,2024-10-25,2024,ok,yfinance,2024-10-25,426
RXT,T2,headline,2020-08-05,2020,ok,yfinance,2020-08-05,1489
SHLS,T2,headline,2021-01-27,2021,ok,yfinance,2021-01-28,1368
NCLH,T2,headline,2013-01-17,2013,ok,yfinance,2013-01-18,3388
TRU,T2,headline,2015-06-25,2015,ok,yfinance,2015-06-25,2776
FIT,T2,headline,2015-06-18,2015,missing_both_sources,,,0
ULCC,T2,headline,2021-04-01,2021,ok,yfinance,2021-04-01,1324
AMWL,T2,headline,2020-09-17,2020,ok,yfinance,2020-09-17,1459
ALSN,T2,headline,2012-03-14,2012,ok,yfinance,2012-03-15,3600
AI,T2,headline,2020-12-09,2020,ok,yfinance,2020-12-09,1401
DH,T2,headline,2021-09-15,2021,ok,yfinance,2021-09-15,1209
BILI,T2,headline,2018-03-28,2018,ok,yfinance,2018-03-28,2082
