tier,entry,exit,split,n,median_hedged,mean_hedged,hit_rate,flag_small_n
T2,5,90,validation,197,0.1555073068354842,0.08777925099881884,0.6903553299492385,False
T2,5,120,discovery,154,0.02298884413929755,-0.0196426268640253,0.5584415584415584,False
T2,5,120,validation,191,0.2455703024901085,0.14854832486466743,0.7172774869109948,False
T2,5,180,discovery,154,0.0694763717158942,-0.007667297776010408,0.5454545454545454,False
T2,5,180,validation,189,0.3225901588880322,0.16544169701994862,0.746031746031746,False
T2,5,250,discovery,154,0.04831857117379375,-0.03827823653086999,0.564935064935065,False
T2,5,250,validation,182,0.36075075327327943,0.20612242051780696,0.7472527472527473,False
T2,10,60,discovery,154,-0.02434925958683395,-0.07849731924037011,0.44155844155844154,False
T2,10,60,validation,197,0.1090694445192503,0.059074222720968225,0.6345177664974619,False
T2,10,90,discovery,154,0.0030990613765035,-0.04776903629183465,0.5064935064935064,False
T2,10,90,validation,197,0.1956725135300208,0.09697625520938738,0.6751269035532995,False
T2,10,120,discovery,154,0.02885471079763505,-0.020818223812281926,0.5909090909090909,False
T2,10,120,validation,191,0.2372225110508431,0.16146986896640625,0.7225130890052356,False
T2,10,180,discovery,154,0.0551659112268948,-0.0063968343599787114,0.5714285714285714,False
T2,10,180,validation,189,0.3238402145066421,0.17235117041278605,0.7513227513227513,False
T2,10,250,discovery,154,0.04739811351613605,-0.038134401295970066,0.577922077922078,False
T2,10,250,validation,182,0.3623564581322138,0.22469234240325586,0.7527472527472527,False
T2,20,60,discovery,154,-0.008537596999427351,-0.0662799530950025,0.4805194805194805,False
T2,20,60,validation,197,0.0857148334255608,0.04761478624087367,0.6345177664974619,False
T2,20,90,discovery,154,0.00268357415611095,-0.03821945031860385,0.5,False
T2,20,90,validation,197,0.1529578004107867,0.09214945575821444,0.6802030456852792,False
T2,20,120,discovery,154,0.030731048064854098,-0.01284120205043911,0.5714285714285714,False
T2,20,120,validation,191,0.2494052453897192,0.1556610689032683,0.7120418848167539,False
T2,20,180,discovery,154,0.0722643531432573,0.0022895455257680134,0.5909090909090909,False
T2,20,180,validation,189,0.2934834447705392,0.1734242774465219,0.7671957671957672,False
T2,20,250,discovery,154,0.08855637636300355,-0.02419417436956537,0.5974025974025974,False
T2,20,250,validation,182,0.347190010274085,0.21943855857821148,0.7637362637362637,False
T2,30,60,discovery,154,-0.0083278622582367,-0.04196195387344909,0.4675324675324675,False
T2,30,60,validation,197,0.0740502079897998,0.057383387656409095,0.6548223350253807,False
T2,30,90,discovery,154,0.00913408296942695,-0.018227411941477627,0.512987012987013,False
T2,30,90,validation,197,0.1543736110172043,0.09971677939446855,0.6903553299492385,False
T2,30,120,discovery,154,0.0510601717933994,0.0009441900936394424,0.5974025974025974,False
T2,30,120,validation,191,0.2536722491774953,0.16654290287792367,0.7172774869109948,False
T2,30,180,discovery,154,0.058299468659872705,0.016853919851634015,0.6038961038961039,False
T2,30,180,validation,189,0.3172766705569398,0.1931965655032861,0.7513227513227513,False
T2,30,250,discovery,154,0.05982484618627465,-0.008627529348123015,0.5909090909090909,False
T2,30,250,validation,182,0.35801133505782257,0.24036008074398507,0.7692307692307693,False
T3,1,60,discovery,16,0.0738688582198277,0.04865045257220975,0.6875,True
T3,1,60,validation,62,0.11620345820735965,0.07983402108628303,0.6129032258064516,False
T3,1,90,discovery,16,0.1113776913243861,0.10639369343665497,0.8125,True
T3,1,90,validation,60,0.1957207369913733,0.10347802556175931,0.6333333333333333,False
T3,1,120,discovery,16,0.15025588188096717,0.15213099481460368,0.875,True
T3,1,120,validation,57,0.2626142273408017,0.22644924805293984,0.7894736842105263,False
T3,1,180,discovery,16,0.13824222893724855,0.17578385674912564,0.875,True
T3,1,180,validation,55,0.2117122631988528,0.18799941789252148,0.7272727272727273,False
T3,1,250,discovery,16,0.20095106216177175,0.19668568901977954,0.875,True
T3,1,250,validation,50,0.17221700531192957,0.08383922090129751,0.7,False
T3,5,60,discovery,16,0.068758956777275,0.029958698192595327,0.6875,True
T3,5,60,validation,62,0.11132422037491604,0.07026957832973553,0.6451612903225806,False
T3,5,90,discovery,16,0.11489110912909205,0.08772336898201968,0.75,True
T3,5,90,validation,60,0.15630371635215895,0.0998457619543739,0.6166666666666667,False
T3,5,120,discovery,16,0.1362464461713114,0.13387761761036904,0.8125,True
T3,5,120,validation,57,0.2404962941345826,0.22534052109880628,0.8070175438596491,False
T3,5,180,discovery,16,0.12819774734232686,0.16460676332837135,0.8125,True
T3,5,180,validation,55,0.2089501175773992,0.18293885110970123,0.7272727272727273,False
T3,5,250,discovery,16,0.1775186285019558,0.1825876236654924,0.75,True
T3,5,250,validation,50,0.22519751283300432,0.07128080541326169,0.72,False
T3,10,60,discovery,16,0.0361913972838551,0.004833171247908975,0.625,True
T3,10,60,validation,62,0.0909593153487678,0.05686339215220764,0.6129032258064516,False
T3,10,90,discovery,16,0.058693432548847,0.061525894399352576,0.75,True
T3,10,90,validation,60,0.1525820230697324,0.08714359723801897,0.6,False
T3,10,120,discovery,16,0.12700084169239712,0.1092187930176345,0.75,True
T3,10,120,validation,57,0.2270338377754071,0.2030582576980205,0.7719298245614035,False
T3,10,180,discovery,16,0.16866930391651555,0.14649094363723383,0.75,True
T3,10,180,validation,55,0.2136829657998187,0.1632176546419357,0.7090909090909091,False
T3,10,250,discovery,16,0.2070107494943656,0.1603525386787848,0.6875,True
T3,10,250,validation,50,0.2161968356545776,0.05021070054965246,0.64,False
T3,20,60,discovery,16,0.0132751296300168,-0.0046728704294941685,0.5625,True
T3,20,60,validation,62,0.0860385918987582,0.04910977128823927,0.5967741935483871,False
T3,20,90,discovery,16,0.08721098969019014,0.049227521044051065,0.6875,True
T3,20,90,validation,60,0.10976000233280435,0.09043764919391167,0.6166666666666667,False
T3,20,120,discovery,16,0.09080223248030395,0.09612130395681512,0.75,True
T3,20,120,validation,57,0.2174848370079268,0.20525686600532264,0.7368421052631579,False
T3,20,180,discovery,16,0.0870855383643083,0.12262008579632414,0.75,True
T3,20,180,validation,55,0.2174501097425054,0.16362418623362981,0.7090909090909091,False
T3,20,250,discovery,16,0.1677571222184073,0.14044982307581363,0.6875,True
T3,20,250,validation,50,0.20098080202840468,0.05367229013362637,0.66,False
T3,30,60,discovery,16,-0.0080414148310358,-0.03804477839039554,0.4375,True
T3,30,60,validation,62,0.0520436274802569,0.01780870502805295,0.5967741935483871,False
T3,30,90,discovery,16,0.06016665662117125,0.01193239921316502,0.625,True
T3,30,90,validation,60,0.08295971533361274,0.056438282722316456,0.6166666666666667,False
T3,30,120,discovery,16,0.0890034108897857,0.05872787661221498,0.625,True
T3,30,120,validation,57,0.1452867518914854,0.17198745487550607,0.7543859649122807,False
T3,30,180,discovery,16,0.0842375980672954,0.09516576239748419,0.75,True
T3,30,180,validation,55,0.1837967973403909,0.142358796979432,0.6909090909090909,False
T3,30,250,discovery,16,0.17200199906577915,0.1093519342657033,0.625,True
T3,30,250,validation,50,0.22538026791109977,0.03398099001718133,0.66,False
T4,1,60,discovery,20,0.05431702728180105,0.04507496335474487,0.6,True
T4,1,60,validation,45,0.1737919429375826,0.009303254808783449,0.6444444444444445,False
T4,1,90,discovery,20,0.0476113525657029,0.10597569679655736,0.6,True
T4,1,90,validation,44,0.25680762708784344,0.09693161712861599,0.6818181818181818,False
