ticker,tier,bucket,listing,quarter,year,era,split,n_bars,stock_e1_x60,qqq_e1_x60,hedged_e1_x60,stock_e1_x90,qqq_e1_x90,hedged_e1_x90,stock_e1_x120,qqq_e1_x120,hedged_e1_x120,stock_e1_x180,qqq_e1_x180,hedged_e1_x180,stock_e1_x250,qqq_e1_x250,hedged_e1_x250,stock_e5_x60,qqq_e5_x60,hedged_e5_x60,stock_e5_x90,qqq_e5_x90,hedged_e5_x90,stock_e5_x120,qqq_e5_x120,hedged_e5_x120,stock_e5_x180,qqq_e5_x180,hedged_e5_x180,stock_e5_x250,qqq_e5_x250,hedged_e5_x250,stock_e10_x60,qqq_e10_x60,hedged_e10_x60,stock_e10_x90,qqq_e10_x90,hedged_e10_x90,stock_e10_x120,qqq_e10_x120,hedged_e10_x120,stock_e10_x180,qqq_e10_x180,hedged_e10_x180,stock_e10_x250,qqq_e10_x250,hedged_e10_x250,stock_e20_x60,qqq_e20_x60,hedged_e20_x60,stock_e20_x90,qqq_e20_x90,hedged_e20_x90,stock_e20_x120,qqq_e20_x120,hedged_e20_x120,stock_e20_x180,qqq_e20_x180,hedged_e20_x180,stock_e20_x250,qqq_e20_x250,hedged_e20_x250,stock_e30_x60,qqq_e30_x60,hedged_e30_x60,stock_e30_x90,qqq_e30_x90,hedged_e30_x90,stock_e30_x120,qqq_e30_x120,hedged_e30_x120,stock_e30_x180,qqq_e30_x180,hedged_e30_x180,stock_e30_x250,qqq_e30_x250,hedged_e30_x250
BLLN,T2,considered,2025-11-06,2025Q4,2025,2020+,validation,168,-0.16515042331966456,-0.005263811980823485,0.15988661133884108,-0.2602219243921883,-0.02616846147377694,0.23405346291841134,-0.22533241218225852,0.10845558446406911,0.33378799664632763,,,,,,,-0.0674483608005727,-0.003072973350413899,0.0643753874501588,-0.1736460359780253,-0.02402366390854216,0.14962237206948314,-0.1346734201786446,0.110896882311464,0.24557030249010858,,,,,,,-0.12719479651054078,0.03561823022470967,0.16281302673525044,-0.22658863122937312,0.013854433579821634,0.24044306480919475,-0.19011290116417634,0.1540113092208577,0.34412421038503405,,,,,,,-0.2519705966249428,-0.030295963946374016,0.2216746326785688,-0.33715513790246865,-0.05067455600902904,0.2864805818934396,-0.30589396016286063,0.08056172780985338,0.386455687972714,,,,,,,-0.18606234524170795,-0.017048127093601373,0.16901421814810658,-0.27875242592069727,-0.03770512602360743,0.24104729989708984,-0.24473685169386317,0.09532407275958965,0.3400609244534528,,,,,,
PBLS,T2,considered,2026-06-10,2026Q2,2026,2020+,validation,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOBS,T2,considered,2026-02-05,2026Q1,2026,2020+,validation,107,-0.3946569105837935,0.10510692649937137,0.49976383708316485,-0.1560412751651039,0.1986881855008984,0.3547294606660023,,,,,,,,,,-0.49365159996904073,0.1216842553004247,0.6153358552694654,-0.2940579359311054,0.21666929457233586,0.5107272305034413,,,,,,,,,,-0.5468181696805088,0.10663167205393176,0.6534498417344405,-0.3681818355213513,0.20034204761896146,0.5685238831403128,,,,,,,,,,-0.4236993811149544,0.1233488480648477,0.5470482291798021,-0.19653177852440018,0.2184748462637951,0.4150066247881953,,,,,,,,,,-0.20176137312000553,0.1574897051778188,0.3592510782978243,0.11289030210173312,0.25550677601002136,0.14261647390828824,,,,,,,,,
BTGO,T2,considered,2026-01-21,2026Q1,2026,2020+,validation,118,-0.3953488132196077,0.0465689252913275,0.4419177385109352,-0.6749594211315457,0.1980098108001589,0.8729692319317046,,,,,,,,,,-0.1439509995433902,0.025975347231179446,0.16992634677456964,-0.5398162300320795,0.17443629551671136,0.7142525255487908,,,,,,,,,,-0.025283343949576986,0.07250200959901032,0.0977853535485873,-0.4760244037519392,0.22769547093598175,0.703719874687921,,,,,,,,,,0.0547169719653946,0.0765541347943286,0.021837162828933998,-0.433018866736255,0.2323339477923727,0.6653528145286277,,,,,,,,,,-0.001785670038388143,0.06693631058912697,0.06872198062751511,-0.4633928275686132,0.22132440271804765,0.6847172302866609,,,,,,,,,
GENB,T2,considered,2026-02-27,2026Q1,2026,2020+,validation,92,0.09613805003773179,0.2024550185085192,0.10631696847078742,0.29170091770582185,0.17113848143116583,-0.12056243627465602,,,,,,,,,,0.19000893016883613,0.21917615102728139,0.029167220858445253,0.4023193767649036,0.18742413157558646,-0.21489524518931713,,,,,,,,,,0.019877693455533807,0.23155850018645818,0.21168080673092438,0.20183488981051467,0.19948399690744378,-0.002350892903070889,,,,,,,,,,0.1660839721937235,0.2980909599701016,0.1320069877763781,0.3741259478701926,0.2642836964534141,-0.1098422514167785,,,,,,,,,,0.04218749639112507,0.18285044239957715,0.14066294600845208,0.228125002561137,0.15204448361841894,-0.07608051894271806,,,,,,,,,
KLRA,T2,considered,2026-04-17,2026Q2,2026,2020+,validation,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGBK,T2,considered,2026-02-11,2026Q1,2026,2020+,validation,103,-0.3134181975817024,0.18561325540065177,0.4990314529823542,-0.32321255420228034,0.19095483017210535,0.5141673843743857,,,,,,,,,,-0.3796460079151591,0.18005332746145286,0.559699335376612,-0.38849559904629194,0.18536985294244368,0.5738654519887356,,,,,,,,,,-0.4099326463506745,0.1688772572435746,0.5788099035942491,-0.4183501867973425,0.17414343087968853,0.592493617677031,,,,,,,,,,-0.2462365499878637,0.19232279332958901,0.4385593433174527,-0.2569892789576278,0.1976945967598116,0.4546838757174394,,,,,,,,,,-0.04234971796581011,0.23953014992031973,0.28187986788612984,-0.05601097194458293,0.24511463790331978,0.3011256098479027,,,,,,,,,
SSMR,T2,considered,2026-06-04,2026Q2,2026,2020+,validation,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDG,T2,considered,2025-12-17,2025Q4,2025,2020+,validation,140,-0.020078749470128776,-0.008245923049181259,0.011832826420947518,0.3354330188335659,0.08889630423907957,-0.24653671459448634,0.37834641131222946,0.18032757208897054,-0.1980188392232589,,,,,,,-0.022388048520074033,-0.03304865111538691,-0.010660602595312874,0.3322859147167909,0.0616641510732725,-0.2706217636435184,0.3750981767664252,0.1508088189222827,-0.2242893578441425,,,,,,,0.02091879599826063,-0.016000187593016912,-0.03691898359127754,0.39130432061420706,0.08038251014424214,-0.3109218104699649,0.43601310609857924,0.17109890093442282,-0.2649142051641564,,,,,,,0.06640956413570076,-0.02889289402216466,-0.09530245815786542,0.4532989694597038,0.06622696421948904,-0.3870720052402148,0.49999991827983625,0.15575475743066347,-0.3442451608491728,,,,,,,0.11066486207596826,-0.03646153329049784,-0.1471263953664661,0.5136099241367182,0.05791697738006474,-0.4556929467566535,0.5622489317230466,0.14674700659884898,-0.4155019251241976,,,,,,
BXDC,T2,considered,2026-05-14,2026Q2,2026,2020+,validation,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
